case_id,firm_symbol,claim_id,opened_day,legal_track,authority,state,priority,trigger,assessment_id,correction_due_day,decision_day,publication_day,closed_day,remedy,calculated_penalty,applicable_cap,applied_penalty,redress,cross_border_consumer_case,duration_days,state_history,outcome,confidence,rule_ids,reasons,policy_regime
R-780-193,MID1,C-MID1-69,780,financial_markets,market_disclosure,closed,0.94,random_surveillance,A-780-193,,1440,1440,1440,correct_and_publish,823533.9103111088,7000000.0,0.0,0.0,False,660,780:screened|780:evidence_requested|780:under_assessment|1440:formal_investigation|1440:decided|1440:published|1440:closed,systemic_abuse,0.3590900491005169,ISSUER-CLEAR-FAIR-NOT-MISLEADING|MAR-PROSPECTUS-TRANSPARENCY-SCOPE-SCREEN,Material greener-than-evidence representation.,current_eu_supervision
R-780-194,BRN2,C-BRN2-114,780,financial_markets,market_disclosure,under_assessment,0.9314675014637366,risk_screening,A-780-194,,,,,none,0.0,0.0,0.0,0.0,False,,780:screened|780:evidence_requested|780:under_assessment,systemic_abuse,0.6012474248019248,ISSUER-CLEAR-FAIR-NOT-MISLEADING|MAR-PROSPECTUS-TRANSPARENCY-SCOPE-SCREEN,Material greener-than-evidence representation.,current_eu_supervision
R-780-195,BRN2,C-BRN2-113,780,consumer,directive_2024_825,under_assessment,0.92,risk_screening,A-780-195,,,,,none,0.0,0.0,0.0,0.0,False,,780:screened|780:evidence_requested|780:under_assessment,prohibited_practice,0.360546875,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION|D2024-825-OFFSET-IMPACT-CLAIM|D2024-825-WHOLE-BUSINESS-OVERREACH,Impact-neutrality or reduction claim based on offsets without transparent separation.|Net-zero presentation omits Scope 3 boundary.,current_eu_supervision
R-780-196,MID1,C-MID1-70,780,consumer,directive_2024_825,under_assessment,0.9067561700041308,risk_screening,A-780-196,,,,,none,0.0,0.0,0.0,0.0,False,,780:screened|780:evidence_requested|780:under_assessment,prohibited_practice,0.360546875,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION|D2024-825-GENERIC-CLAIM|D2024-825-SUSTAINABILITY-LABEL,Unsubstantiated generic environmental claim.|Sustainability label lacks independent verification.,current_eu_supervision
R-780-197,GRN2,C-GRN2-107,780,sustainability_reporting,csrd,under_assessment,0.9055849446718844,random_surveillance,A-780-197,,,,,none,0.0,0.0,0.0,0.0,False,,780:screened|780:evidence_requested|780:under_assessment,systemic_abuse,0.6077810559627425,CSRD-REPORTING-SCOPE|CSRD-LIMITED-ASSURANCE,Material greener-than-evidence representation.,current_eu_supervision
R-780-198,BRN3,C-BRN3-69,780,financial_markets,market_disclosure,under_assessment,0.9000000000000001,risk_screening,A-780-198,,,,,none,0.0,0.0,0.0,0.0,False,,780:screened|780:evidence_requested|780:under_assessment,systemic_abuse,0.24659879488853187,ISSUER-CLEAR-FAIR-NOT-MISLEADING|MAR-PROSPECTUS-TRANSPARENCY-SCOPE-SCREEN,Material greener-than-evidence representation.,current_eu_supervision
R-780-199,BRN1,C-BRN1-115,780,consumer,directive_2024_825,under_assessment,0.8791195478560406,risk_screening,A-780-199,,,,,none,0.0,0.0,0.0,0.0,False,,780:screened|780:evidence_requested|780:under_assessment,systemic_abuse,0.6055040322580646,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION,Material greener-than-evidence representation.,current_eu_supervision
R-780-200,BRN1,C-BRN1-109,780,consumer,directive_2024_825,under_assessment,0.8570695483916865,risk_screening,A-780-200,,,,,none,0.0,0.0,0.0,0.0,False,,780:screened|780:evidence_requested|780:under_assessment,systemic_abuse,0.6055040322580646,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION,Material greener-than-evidence representation.,current_eu_supervision
R-900-201,BRN1,C-BRN1-121,900,sustainability_reporting,csrd,closed,0.94,random_surveillance,A-900-201,,1440,1440,1440,correct_and_publish,308100.1082250536,6000000.0,308100.11,0.0,False,540,900:screened|900:evidence_requested|900:under_assessment|1440:formal_investigation|1440:decided|1440:published|1440:closed,systemic_abuse,0.6055040322580646,CSRD-REPORTING-SCOPE|CSRD-LIMITED-ASSURANCE,Material greener-than-evidence representation.,current_eu_supervision
R-900-202,BRN1,C-BRN1-122,900,sustainability_reporting,csrd,closed,0.94,random_surveillance,A-900-202,,1500,1500,1500,correct_and_publish,295255.59275170567,6000000.0,295255.59,0.0,False,600,900:screened|900:evidence_requested|900:under_assessment|1500:formal_investigation|1500:decided|1500:published|1500:closed,systemic_abuse,0.6055040322580646,CSRD-REPORTING-SCOPE|CSRD-LIMITED-ASSURANCE,Material greener-than-evidence representation.,current_eu_supervision
