day,asset_price,corporate_balance,noise_count,fundamentalist_count,chartist_count,noise_wealth,fundamentalist_wealth,chartist_wealth
1685,100.68,991522.8534370203,43,50,7,23740.853636866686,23692.753313242905,17469.105319333077
1686,100.0,991522.8534370203,43,50,7,23664.981090391375,23533.0936767481,17459.527551542884
1687,100.0,991522.8534370203,43,50,7,23665.996069192584,23533.098040611945,17460.82989078548
1688,101.75,991522.8534370203,43,50,7,23864.34181768124,23944.00240483446,17491.740967430123
1689,100.69,991522.8534370203,43,50,7,23744.672862048104,23695.118769415676,17472.764243190537
1690,101.75,991522.8534370203,43,50,7,23865.072158554416,23944.01113435563,17499.24177314982
1691,100.75,991522.8534370203,43,50,7,23751.93473051315,23709.215499654347,17476.63782281556
1692,101.75,991522.8534370203,43,50,7,23865.433870817255,23944.01986531185,17504.909902106632
1693,100.0,991522.8534370203,43,50,7,23668.451459390366,23533.124231328176,17456.10971857608
1694,100.0,991522.8534370203,43,50,7,23669.463317169546,23533.12859770335,17457.309633660585
1695,99.25,991522.8534370203,43,50,7,23585.324619350464,23357.032964437414,17432.79844721795
1696,99.3,991522.8534370203,43,50,7,23591.670955351725,23368.777331530382,17433.678898335096
1697,98.71,991522.8534370203,43,50,7,23525.083343705282,23230.249698982287,17417.90452467864
1698,99.25,991522.8534370203,43,50,7,23586.178282720146,23357.046066793162,17433.879223567754
1699,98.75,991522.8534370203,43,50,7,23530.516093792998,23239.650434963038,17424.163454894817
1700,100.0,991522.8534370203,43,50,7,23672.721068361217,23533.15480349194,17450.433249151385
1701,100.0,991522.8534370203,43,50,7,23673.734265733972,23533.159172379896,17451.703147774602
1702,98.25,991522.8534370203,43,50,7,23476.627417541724,23122.26354162694,17419.113511020016
1703,100.75,991522.8534370203,43,50,7,23759.658396447958,23709.267911233102,17456.13365618374
1704,100.66,991522.8534370203,43,50,7,23749.649570756428,23688.140281198408,17452.957930900764
1705,99.22,991522.8534370203,43,50,7,23587.51782016765,23350.03265152289,17432.841441851448
1706,99.2,991522.8534370203,43,50,7,23585.178375256422,23345.341022206576,17433.69050124205
1707,100.0,991522.8534370203,43,50,7,23676.742866374872,23533.1853932495,17445.078049972093
1708,100.0,991522.8534370203,43,50,7,23677.75860376242,23533.189764651685,17446.408565193422
1709,101.36,991522.8534370203,43,50,7,23832.14260655174,23852.52213641316,17466.771170782184
1710,102.75,961362.2193543154,39,54,7,24272.398628589475,24577.440616289517,17521.862467035946
1711,102.75,961362.2193543154,39,54,7,24272.629573102517,24578.455392029762,17526.271437241572
1712,102.51,961362.2193543154,39,54,7,24245.956585056978,24525.057688400786,17523.452932779666
1713,102.3,961362.2193543154,39,54,7,24222.374390721332,24478.044251651103,17523.15372645559
1714,100.0,961362.2193543154,39,54,7,23953.57122971235,23957.158935754993,17467.870731325158
1715,100.0,961362.2193543154,39,54,7,23954.57584357528,23957.26622126874,17469.102123110984
1716,106.27,961362.2193543154,39,54,7,24691.869943759928,25380.092899047133,17636.982517678167
1717,104.16,961362.2193543154,39,54,7,24445.04668481496,24902.477241397813,17586.82407647602
1718,102.25,961362.2193543154,39,54,7,24221.011644919607,24467.45354165449,17532.8077350162
1719,101.75,961362.2193543154,39,54,7,24161.891044658783,24353.832359148055,17519.031192068276
1720,101.03,961362.2193543154,39,54,7,24076.974987278518,24189.257045112954,17493.99884796136
1721,100.0,961362.2193543154,39,54,7,23957.498170845072,23953.53130841651,17454.496689305535
1722,100.0,961362.2193543154,39,54,7,23958.50502690371,23953.618356651903,17455.606050394013
1723,98.75,961362.2193543154,39,54,7,23812.51679175795,23666.94735464347,17408.436367779916
1724,101.25,961362.2193543154,39,54,7,24104.392346994126,24240.387844138524,17496.386389124975
1725,99.51,961362.2193543154,39,54,7,23901.08655705264,23840.41668646119,17435.209183525414
1726,101.75,961362.2193543154,39,54,7,24163.834834888097,24355.920256671357,17498.189197518856
1727,98.9,961362.2193543154,39,54,7,23829.42945087546,23699.008241027183,17420.873158454542
1728,100.0,961362.2193543154,39,54,7,23959.864256604757,23952.733523084542,17450.38169988831
1729,100.0,961362.2193543154,39,54,7,23960.86581131352,23952.8069593254,17451.6046275427
1730,101.25,961362.2193543154,39,54,7,24107.915343683413,24241.261999687595,17479.870820842225
1731,98.75,961362.2193543154,39,54,7,23814.895952382,23663.751763143795,17423.156263621942
1732,101.25,961362.2193543154,39,54,7,24108.369881494444,24241.78203340582,17471.264932606
1733,98.75,961362.2193543154,39,54,7,23815.926269725624,23662.891180443014,17426.64027909056
1734,98.75,961362.2193543154,39,54,7,23815.877784120217,23662.44104624044,17428.81878192935
1735,100.0,961362.2193543154,39,54,7,23963.771667088517,23952.318907960125,17447.63765744567
1736,100.0,961362.2193543154,39,54,7,23964.77460684242,23952.381960046925,17448.95664136272
1737,99.35,961362.2193543154,39,54,7,23888.564276322315,23801.417094725934,17440.91913133661
1738,101.25,961362.2193543154,39,54,7,24113.323202302945,24242.47609975338,17460.288260559733
1739,99.31,961362.2193543154,39,54,7,23884.739867736807,23791.483573164674,17436.00828173207
1740,98.75,961362.2193543154,39,54,7,23818.82013693196,23661.059958824688,17431.43190466869
1741,99.67,961362.2193543154,39,54,7,23928.418119932172,23874.981331054543,17440.356942416
1742,100.0,961362.2193543154,39,54,7,23968.56300687845,23951.877234268966,17444.089024591307
1743,100.0,961362.2193543154,39,54,7,23969.556437008265,23951.932030875745,17445.464076918182
1744,99.3,961362.2193543154,39,54,7,23887.2846320585,23788.587081909543,17441.26209064466
1745,99.94,961362.2193543154,39,54,7,23963.55524268767,23937.682383415777,17444.704970296454
1746,101.25,961362.2193543154,39,54,7,24118.118725302782,24243.52385353184,17448.552352035895
1747,102.25,961362.2193543154,39,54,7,24236.77359170461,24477.480832021643,17456.384704426277
1748,102.25,961362.2193543154,39,54,7,24237.644519506735,24477.617323318085,17460.051035817756
1749,100.0,961362.2193543154,39,54,7,23972.10180324678,23950.869864544056,17439.868754155417
1750,100.0,961362.2193543154,39,54,7,23973.097630367363,23950.91407607021,17441.222298019828
1751,102.25,961362.2193543154,39,54,7,24240.361937949307,24477.94109468803,17467.107023442954
1752,101.75,961362.2193543154,39,54,7,24181.873670204746,24360.88100126291,17463.378141215955
1753,98.93,961362.2193543154,39,54,7,23848.36209657846,23698.845536859877,17412.98082501703
1754,101.25,961362.2193543154,39,54,7,24122.465794346892,24243.924987582486,17449.29420186136
1755,102.25,961362.2193543154,39,54,7,24241.147181819008,24479.23661247454,17469.598044352864
1756,100.0,961362.2193543154,39,54,7,23975.718077134603,23949.770837401593,17427.801594485667
1757,100.0,961362.2193543154,39,54,7,23976.712131069628,23949.80506514165,17429.07667798267
1758,100.66,961362.2193543154,39,54,7,24054.95541595082,24105.24852061694,17437.41980729726
1759,98.75,961362.2193543154,39,54,7,23829.373485449334,23655.044559451846,17407.578941959502
1760,98.75,961362.2193543154,39,54,7,23830.166567555018,23654.61317747702,17408.74572801571
1761,99.34,961362.2193543154,39,54,7,23900.236998940778,23793.64189784435,17415.580285649245
1762,99.9,961362.2193543154,39,54,7,23967.387439435635,23925.688678678383,17417.026803230456
1763,100.0,961362.2193543154,39,54,7,23980.236466334827,23949.347983683932,17418.851721284733
1764,100.0,961362.2193543154,39,54,7,23981.231728875853,23949.37395749081,17420.248182678653
1765,101.25,961362.2193543154,39,54,7,24129.68144027384,24244.88786799577,17423.25073518032
1766,100.57,961362.2193543154,39,54,7,24050.061279010537,24084.053630701485,17422.216909502076
1767,102.25,961362.2193543154,39,54,7,24249.10257615527,24481.680832088943,17433.930203403408
1768,101.75,961362.2193543154,39,54,7,24190.880770931515,24363.446223959465,17432.42520792447
1769,102.25,961362.2193543154,39,54,7,24250.894823195307,24482.146656808924,17440.868764659368
1770,100.0,961362.2193543154,39,54,7,23983.84653401593,23948.58253568178,17414.553781954233
1771,100.0,961362.2193543154,39,54,7,23984.836787759043,23948.601749467056,17415.88176553232
1772,101.25,961362.2193543154,39,54,7,24134.250190279145,24245.06048373147,17433.30885235876
1773,98.75,961362.2193543154,39,54,7,23837.75116621371,23651.75773970058,17390.84096601473
1774,101.25,961362.2193543154,39,54,7,24134.828285099575,24245.147256286367,17429.510407085207
1775,100.75,961362.2193543154,39,54,7,24075.50411192479,24126.472995826076,17414.95678418422
1776,101.75,961362.2193543154,39,54,7,24194.524958323247,24364.303843859772,17428.77637175971
1777,100.0,961362.2193543154,39,54,7,23987.98764391008,23947.978803511065,17405.33822000663
1778,100.0,961362.2193543154,39,54,7,23988.98246253816,23947.991727187462,17406.650176076688
1779,99.21,961362.2193543154,39,54,7,23895.688988539216,23759.995208673066,17395.016337010806
1780,101.25,961362.2193543154,39,54,7,24138.22418761728,24245.742326026084,17410.997671686528
1781,98.75,961362.2193543154,39,54,7,23842.05893733534,23650.21520421564,17391.690230109252
1782,98.75,961362.2193543154,39,54,7,23843.089140264605,23650.107054941294,17392.445077442295
1783,100.75,961362.2193543154,39,54,7,24079.62448613107,24126.91107388518,17397.80570910913
1784,100.0,961362.2193543154,39,54,7,23992.320927342782,23948.016047169796,17397.610778267215
1785,100.0,961362.2193543154,39,54,7,23993.32514339371,23948.023798869253,17399.023106354663
1786,100.54,961362.2193543154,39,54,7,24057.51669260292,24076.80019428512,17401.113089485832
